len,peak_mem,rewrites,time
1,115188,45625,0.488
2,284896,96366,0.43
3,423256,131044,0.347
4,560800,165500,0.385
5,697512,199752,0.38
6,834512,234163,0.459
7,972328,268951,0.406
8,1109072,303448,0.467
9,1247392,338394,0.403
10,1383576,372857,0.481
11,1522400,408364,0.421
12,1657764,442647,0.511
13,1792332,476573,0.457
14,1930704,512063,0.531
15,2085928,554136,0.5
16,2224640,590056,0.564
17,2375348,630499,0.626
18,2538284,674410,0.551
19,2679872,711916,0.603
20,2810968,745106,0.586
21,2941364,778128,0.634
22,3070972,810958,0.655
23,3276744,873542,0.673
24,3406880,906600,0.69
25,3604648,965921,0.714
26,3768084,1011011,0.718
27,3935828,1057834,0.76
28,4141040,1122303,0.813
29,4291808,1164998,0.83
30,4420504,1197828,0.866
31,4610332,1256127,0.865
32,4815676,1318266,0.943
33,4981616,1366604,0.946
34,5152808,1416154,0.95
35,5322204,1466274,1.013
36,5562488,1542181,0.944
37,5735888,1594258,0.977
38,5990500,1675154,1.026
39,6115720,1707358,1.041
40,6319216,1768557,1.087
41,6654936,1883425,1.152
42,6866252,1947214,1.18
43,6990464,1979299,1.209
44,7327212,2097935,1.293
45,7517884,2158125,1.346
46,7750364,2230061,1.28
47,8132068,2365858,1.35
48,8394344,2447884,1.379
49,8847552,2609808,1.455
50,9066892,2681529,1.485
51,9291972,2756204,1.516
52,9686068,2891532,1.558
53,9806592,2922945,1.581
54,9927292,2954419,1.712
55,10407432,3132835,1.814
56,10837896,3281323,1.851
57,11090224,3367225,1.942
58,11517660,3516562,2.025
59,11971928,3677142,1.97
60,12282504,3777333,1.981
61,12400212,3808217,2.044
62,13253204,4128983,2.121
63,13651740,4257456,2.197
64,14416176,4537933,2.283
65,14791544,4662515,2.298
66,15560652,4953608,2.556
67,16186228,5176380,2.592
68,16504624,5293130,2.641
69,16620488,5323836,2.695
70,16735760,5354412,2.717
71,17846252,5780384,2.855
72,18294892,5928719,2.921
73,19257004,6289903,3.026
74,19635368,6429680,3.276
75,20091320,6583787,3.358
76,20204824,6614094,3.047
77,20318176,6644370,3.151
78,20430768,6674469,3.234
79,20542600,6704391,3.291
80,22300824,7418927,3.636
81,23085328,7712075,3.728
82,23457252,7854082,3.855
83,23568028,7883793,3.861
84,24205164,8143548,3.99
85,24614904,8298988,3.981
86,24725232,8328686,4.06
87,25955436,8796974,4.25
88,26065000,8826520,4.249
89,27377584,9325988,4.571
90,27862420,9507587,4.529
91,28335424,9687490,4.63
92,29346044,10067799,4.838
93,29452932,10096817,4.713
94,30894912,10651627,4.907
95,31002344,10680835,4.674
96,31109072,10709879,4.848
97,31215104,10738766,4.992
98,31874416,10967232,5.084
99,34784064,12112987,5.895
100,35308608,12318302,5.79
101,35413416,12346982,5.856
102,36122384,12598002,6.003
103,37444588,13149081,6.264
104,38675936,13615429,6.446
105,38779160,13643807,6.435
106,39570804,13922889,6.412
107,41843756,14822525,6.702
108,42452648,15062017,6.679
109,42554704,15090175,6.947
110,42656340,15118237,6.995
111,42757572,15146222,6.995
112,43577436,15437784,6.942
113,46340916,16575710,7.241
114,46974560,16827975,7.297
115,47908512,17165480,7.326
116,49931160,17959627,7.899
117,50887444,18306954,9.063
118,52970632,19129281,9.755
119,53961676,19483932,8.876
120,56232468,20373754,9.387
121,56330484,20401265,9.275
122,57384660,20776307,9.821
123,57482068,20803642,9.537
124,61343060,22340846,10.196
125,62137148,22658637,10.329
126,63905148,23343247,10.11
127,64001404,23370451,10.527
128,66500236,24355477,10.84
129,67660412,24769836,10.962
130,69228044,25419989,10.933
131,70143768,25781851,10.933
132,71351716,26216793,11.474
133,73186276,26951986,11.752
134,74392588,27386467,12.164
135,77417704,28561829,13.033
136,78437136,28962221,13.088
137,78529568,28988696,13.175
138,81675576,30208293,13.846
139,83019952,30697740,13.929
140,84389752,31186686,14.069
141,85730216,31667210,14.172
142,85821836,31693596,14.421
143,85913036,31719897,14.304
144,91893656,34167560,15.322
145,93308016,34680377,15.318
146,93397896,34706488,15.423
147,94840872,35226469,15.619
148,99910872,37305582,16.565
149,102331888,38240606,16.715
150,103876980,38800981,17.654
151,103965444,38826811,16.794
152,106980720,40106964,17.521
153,108092104,40565672,17.748
154,110748336,41588079,17.599
155,111958172,42080463,18.184
156,112044492,42105898,18.622
